Detector Name,Detection Time,Descriptor Name,Descriptor Time,No of matches found
SHITOMASI,20.0927ms,BRISK,0.003381ms,
SHITOMASI,18.2138ms,BRISK,0.003022ms,84
SHITOMASI,18.2608ms,BRISK,0.003459ms,80
SHITOMASI,17.8507ms,BRISK,0.003458ms,73
SHITOMASI,16.7886ms,BRISK,0.003111ms,77
SHITOMASI,15.8677ms,BRISK,0.002757ms,74
SHITOMASI,17.1375ms,BRISK,0.003031ms,70
SHITOMASI,17.6332ms,BRISK,0.003388ms,79
SHITOMASI,17.2541ms,BRISK,0.003268ms,81
SHITOMASI,16.5483ms,BRISK,0.002857ms,72
SHITOMASI,20.1531ms,BRIEF,0.002167ms,
SHITOMASI,16.7796ms,BRIEF,0.001035ms,96
SHITOMASI,18.4676ms,BRIEF,0.000982ms,93
SHITOMASI,17.8668ms,BRIEF,0.000888ms,92
SHITOMASI,18.2588ms,BRIEF,0.001119ms,89
SHITOMASI,16.302ms,BRIEF,0.001071ms,92
SHITOMASI,16.4845ms,BRIEF,0.000983ms,93
SHITOMASI,17.1914ms,BRIEF,0.010189ms,85
SHITOMASI,17.4418ms,BRIEF,0.001058ms,91
SHITOMASI,16.3128ms,BRIEF,0.000926ms,85
SHITOMASI,20.5875ms,ORB,0.001483ms,
SHITOMASI,17.0025ms,ORB,0.001367ms,86
SHITOMASI,18.9973ms,ORB,0.001012ms,84
SHITOMASI,17.3894ms,ORB,0.000968ms,87
SHITOMASI,17.0906ms,ORB,0.001079ms,91
SHITOMASI,15.7443ms,ORB,0.000962ms,87
SHITOMASI,16.4456ms,ORB,0.001343ms,76
SHITOMASI,18.2884ms,ORB,0.0009ms,81
SHITOMASI,16.9395ms,ORB,0.001161ms,88
SHITOMASI,16.2206ms,ORB,0.001024ms,88
SHITOMASI,21.1527ms,FREAK,0.00171ms,
SHITOMASI,16.7918ms,FREAK,0.001799ms,66
SHITOMASI,17.3824ms,FREAK,0.001415ms,66
SHITOMASI,12.5524ms,FREAK,0.00131ms,64
SHITOMASI,12.7195ms,FREAK,0.002621ms,63
SHITOMASI,12.318ms,FREAK,0.002002ms,62
SHITOMASI,11.9958ms,FREAK,0.001202ms,64
SHITOMASI,12.3628ms,FREAK,0.001887ms,61
SHITOMASI,11.7291ms,FREAK,0.00126ms,65
SHITOMASI,12.0651ms,FREAK,0.001442ms,63
SHITOMASI,20.391ms,SIFT,0.002547ms,
SHITOMASI,12.3292ms,SIFT,0.002706ms,112
SHITOMASI,17.6075ms,SIFT,0.016603ms,109
SHITOMASI,17.6782ms,SIFT,0.001551ms,104
SHITOMASI,15.5094ms,SIFT,0.00235ms,103
SHITOMASI,12.3766ms,SIFT,0.001627ms,99
SHITOMASI,17.9026ms,SIFT,0.001692ms,101
SHITOMASI,16.3763ms,SIFT,0.002337ms,96
SHITOMASI,12.0865ms,SIFT,0.002124ms,106
SHITOMASI,15.7207ms,SIFT,0.001629ms,97
,,,,
,,,,
HARRIS,20.4668ms,BRISK,0.002763ms,
HARRIS,18.5948ms,BRISK,0.003167ms,9
HARRIS,19.1936ms,BRISK,0.003539ms,10
HARRIS,17.9185ms,BRISK,0.003067ms,13
HARRIS,16.6075ms,BRISK,0.003019ms,12
HARRIS,16.6417ms,BRISK,0.003217ms,13
HARRIS,17.9641ms,BRISK,0.003545ms,14
HARRIS,22.283ms,BRISK,0.002918ms,15
HARRIS,19.08ms,BRISK,0.022046ms,15
HARRIS,18.7716ms,BRISK,0.002743ms,16
HARRIS,20.4911ms,BRIEF,0.000934ms,
HARRIS,19.1422ms,BRIEF,0.001156ms,10
HARRIS,19.0152ms,BRIEF,0.000938ms,13
HARRIS,17.8897ms,BRIEF,0.000971ms,14
HARRIS,16.8301ms,BRIEF,0.001118ms,14
HARRIS,16.6358ms,BRIEF,0.001068ms,19
HARRIS,16.4585ms,BRIEF,0.001084ms,16
HARRIS,19.354ms,BRIEF,0.00096ms,14
HARRIS,16.4138ms,BRIEF,0.001065ms,19
HARRIS,16.8816ms,BRIEF,0.001038ms,17
HARRIS,20.8108ms,ORB,0.000972ms,
HARRIS,18.3078ms,ORB,0.000858ms,10
HARRIS,18.6976ms,ORB,0.000776ms,12
