Keypoint Detector Name,Total Keypoints Detected,Keypoints on the Vehicle,Neighbourhood size
SHITOMASI,1370,125,4
SHITOMASI,1301,118,4
SHITOMASI,1361,123,4
SHITOMASI,1358,120,4
SHITOMASI,1333,120,4
SHITOMASI,1284,113,4
SHITOMASI,1322,114,4
SHITOMASI,1366,123,4
SHITOMASI,1389,111,4
SHITOMASI,1339,112,4
,,,
HARRIS,53,10,6
HARRIS,62,13,6
HARRIS,63,17,6
HARRIS,69,17,6
HARRIS,82,20,6
HARRIS,73,18,6
HARRIS,69,17,6
HARRIS,108,25,6
HARRIS,81,20,6
HARRIS,68,19,6
,,,
FAST,1824,149,7
FAST,1832,152,7
FAST,1810,150,7
FAST,1817,155,7
FAST,1793,149,7
FAST,1796,149,7
FAST,1788,156,7
FAST,1695,150,7
FAST,1749,138,7
FAST,1770,143,7
,,,
BRISK,2757,264,11.4444
BRISK,2777,282,16.5484
BRISK,2741,282,13.0737
BRISK,2735,277,11.6
BRISK,2757,297,12
BRISK,2695,279,12.1837
BRISK,2715,289,11.5455
BRISK,2628,272,13.625
BRISK,2639,266,10.5714
BRISK,2672,254,8.4
,,,
ORB,505,89,8
ORB,512,91,8
ORB,505,92,8
ORB,506,94,8
ORB,506,103,8
ORB,503,103,8
ORB,514,110,8
ORB,504,114,8
ORB,506,105,8
ORB,507,102,8
,,,
AKAZE,1351,166,4.8
AKAZE,1327,157,4.8
AKAZE,1311,161,4.8
AKAZE,1351,155,4.8
AKAZE,1360,163,4.8
AKAZE,1347,164,4.8
AKAZE,1363,173,4.8
AKAZE,1331,175,4.8
AKAZE,1357,177,4.8
AKAZE,1331,179,4.8
,,,
SIFT,1438,138,2.01392
SIFT,1371,132,4.96951
SIFT,1380,124,5.10359
SIFT,1335,137,2.99994
SIFT,1305,134,3.31252
SIFT,1370,140,2.02517
SIFT,1396,137,3.03291
SIFT,1382,148,1.86609
SIFT,1463,159,2.09694
SIFT,1422,137,2.08917
